,Matches Played,Matches Won,Win Percentage
Chennai Super Kings,30395,34371,113.08
Deccan Chargers,9034,7013,77.63
Delhi Capitals,12615,12296,97.47
Delhi Daredevils,18786,15709,83.62
Gujarat Lions,3566,3063,85.89
Gujarat Titans,7331,9000,122.77
Kings XI Punjab,22646,20162,89.03
Kochi Tuskers Kerala,1582,1322,83.57
Kolkata Knight Riders,30895,31729,102.7
Lucknow Super Giants,7144,7430,104.0
Mumbai Indians,33323,36185,108.59
Pune Warriors,5443,2883,52.97
Punjab Kings,8865,8158,92.02
Rajasthan Royals,27922,27466,98.37
Rising Pune Supergiant,1900,2383,125.42
Rising Pune Supergiants,1580,1105,69.94
Royal Challengers Bangalore,28205,26801,95.02
Royal Challengers Bengaluru,3531,4244,120.19
Sunrisers Hyderabad,23442,22183,94.63
