batter,runs_scored
V Kohli,8671
RG Sharma,7048
S Dhawan,6769
DA Warner,6567
SK Raina,5536
MS Dhoni,5439
KL Rahul,5235
AB de Villiers,5181
AM Rahane,5032
CH Gayle,4997
RV Uthappa,4954
KD Karthik,4843
F du Plessis,4773
SV Samson,4704
AT Rayudu,4348
SA Yadav,4311
G Gambhir,4217
JC Buttler,4121
MK Pandey,3951
SR Watson,3880
Shubman Gill,3866
SS Iyer,3735
RR Pant,3566
KA Pollard,3437
Q de Kock,3312
RA Jadeja,3260
YK Pathan,3222
DA Miller,3077
Ishan Kishan,2998
WP Saha,2934
BB McCullum,2882
N Rana,2853
PA Patel,2848
GJ Maxwell,2820
MA Agarwal,2764
HH Pandya,2758
Yuvraj Singh,2754
V Sehwag,2728
AD Russell,2655
M Vijay,2619
RD Gaikwad,2502
SPD Smith,2495
SE Marsh,2489
JH Kallis,2427
DR Smith,2385
SR Tendulkar,2334
N Pooran,2293
RA Tripathi,2291
R Dravid,2174
YBK Jaiswal,2166
KS Williamson,2132
AJ Finch,2092
AC Gilchrist,2069
JP Duminy,2029
MP Stoinis,2026
MEK Hussey,1977
AR Patel,1916
PP Shaw,1892
S Dube,1859
Abhishek Sharma,1816
DPMD Jayawardene,1808
D Padikkal,1806
B Sai Sudharsan,1793
SP Narine,1780
KH Pandya,1756
Mandeep Singh,1706
MK Tiwary,1695
KK Nair,1694
KC Sangakkara,1687
JM Bairstow,1674
R Parag,1570
DJ Bravo,1560
NV Ojha,1554
Tilak Varma,1499
DJ Hooda,1497
SS Tiwary,1494
SO Hetmyer,1488
H Klaasen,1480
VR Iyer,1468
S Badrinath,1441
AK Markram,1440
EJG Morgan,1406
BJ Hodge,1400
P Simran Singh,1355
SC Ganguly,1349
CA Lynn,1329
DJ Hussey,1322
MR Marsh,1292
V Shankar,1233
KM Jadhav,1208
MM Ali,1167
TM Dilshan,1153
IK Pathan,1150
TM Head,1146
R Tewatia,1112
RM Patidar,1111
ML Hayden,1107
RK Singh,1099
M Vohra,1083
DP Conway,1080
LMP Simmons,1079
PD Salt,1056
LS Livingstone,1051
LRPL Taylor,1017
KP Pietersen,1001
MC Henriques,1000
SM Curran,997
JM Sharma,991
Y Venugopal Rao,985
JA Morkel,975
A Symonds,974
CL White,971
A Badoni,963
BA Stokes,935
HH Gibbs,886
STR Binny,880
TH David,846
R Ashwin,833
Harbhajan Singh,833
MS Bisla,798
Shakib Al Hasan,795
Shashank Singh,773
ST Jayasuriya,768
Abdul Samad,743
GC Smith,739
M Shahrukh Khan,732
AD Mathews,724
N Wadhera,719
T Stubbs,711
C Green,707
Dhruv Jurel,680
TL Suman,676
AM Nayar,672
GJ Bailey,663
Abishek Porel,661
E Lewis,654
PP Chawla,624
CH Morris,618
JJ Roy,614
PJ Cummins,612
JD Ryder,604
SN Khan,585
Rashid Khan,585
HM Amla,577
Priyansh Arya,545
Shahbaz Ahmed,545
CJ Anderson,538
RS Bopara,531
MK Lomror,527
JP Faulkner,527
M Manhas,514
Gurkeerat Singh,511
Washington Sundar,511
OA Shah,506
PC Valthaty,505
SW Billings,503
Nithish Kumar Reddy,485
RR Rossouw,473
WG Jacks,463
A Raghuvanshi,463
DT Christian,460
D Brevis,455
NLTC Perera,424
SA Asnodkar,423
JR Hopes,417
R Ravindra,413
J Botha,409
LR Shukla,405
AL Menaria,401
SE Rutherford,397
MV Boucher,394
Ashutosh Sharma,393
Naman Dhir,392
CA Pujara,390
RD Rickelton,388
Azhar Mahmood,388
J Fraser-McGurk,385
A Mishra,381
KR Mayers,379
DB Ravi Teja,375
S Sohal,368
R Powell,365
P Negi,365
Rahmanullah Gurbaz,363
KV Sharma,352
DJ Mitchell,351
R Bhatia,342
P Kumar,340
AP Tare,339
JEC Franklin,327
RN ten Doeschate,326
SN Thakur,325
B Kumar,320
Anuj Rawat,318
R Vinay Kumar,310
Lalit Yadav,305
DB Das,304
C de Grandhomme,303
LA Pomersbach,302
UBT Chand,300
DJG Sammy,295
SP Goswami,293
A Manohar,292
Y Nagar,285
GH Vihari,284
VVS Laxman,282
A Ashish Reddy,280
B Chipli,280
JP Inglis,278
MJ Lumb,278
PBB Rajapaksa,277
PK Garg,273
MJ Guptill,271
R Sathish,270
HV Patel,270
JC Archer,262
Atharva Taide,260
JO Holder,259
M Kaif,259
V Suryavanshi,252
