bowler,player_out
YS Chahal,229
B Kumar,213
SP Narine,212
DJ Bravo,207
R Ashwin,205
JJ Bumrah,203
PP Chawla,201
SL Malinga,188
A Mishra,183
RA Jadeja,179
HV Patel,168
Rashid Khan,166
Sandeep Sharma,163
UT Yadav,163
Harbhajan Singh,161
TA Boult,151
Mohammed Shami,150
MM Sharma,149
AR Patel,137
AD Russell,133
K Rabada,128
R Vinay Kumar,127
A Nehra,121
JD Unadkat,121
Z Khan,119
SN Thakur,115
Mohammed Siraj,112
SR Watson,107
CH Morris,107
Kuldeep Yadav,106
Arshdeep Singh,106
DW Steyn,105
CV Varun,102
P Kumar,102
I Sharma,100
RP Singh,100
IK Pathan,99
PP Ojha,99
KH Pandya,97
JA Morkel,96
Avesh Khan,94
KK Ahmed,94
DS Kulkarni,91
DL Chahar,91
KV Sharma,89
M Morkel,88
Imran Tahir,86
L Balaji,85
HH Pandya,84
PJ Cummins,82
MM Patel,82
R Bhatia,82
AB Dinda,82
KA Pollard,81
M Prasidh Krishna,80
MA Starc,78
Ravi Bishnoi,77
T Natarajan,77
RD Chahar,76
JP Faulkner,76
MJ McClenaghan,75
Mustafizur Rahman,74
JH Kallis,74
SK Trivedi,73
Shakib Al Hasan,71
M Muralitharan,67
MG Johnson,66
A Nortje,63
LH Ferguson,63
SM Curran,63
S Kaul,63
JC Archer,61
SK Warne,60
JO Holder,59
JR Hazlewood,58
TG Southee,57
TU Deshpande,55
S Nadeem,54
M Pathirana,53
S Gopal,53
NM Coulter-Nile,52
SB Jakati,50
A Kumble,49
Noor Ahmad,48
AJ Tye,48
S Aravind,48
PWH de Silva,47
RJ Harris,47
MP Stoinis,46
MC Henriques,46
YK Pathan,46
MM Ali,46
VR Aaron,46
Iqbal Abdulla,45
Yash Dayal,45
Mukesh Kumar,45
GJ Maxwell,45
PJ Sangwan,44
S Sreesanth,43
DE Bollinger,43
P Awana,43
Harshit Rana,42
R Sharma,42
Washington Sundar,41
DT Christian,40
WD Parnell,40
VG Arora,39
MS Gony,39
M Kartik,39
Yuvraj Singh,39
P Negi,38
DP Nannes,38
M Jansen,38
NLTC Perera,37
M Markande,37
MR Marsh,37
M Theekshana,36
R Tewatia,36
CJ Jordan,36
KK Cooper,36
M Ashwin,35
Harpreet Brar,35
DL Vettori,34
MF Maharoof,33
AB Agarkar,33
Shivam Mavi,33
R Sai Kishore,32
A Zampa,32
L Ngidi,32
Umran Malik,31
Azhar Mahmood,31
Harmeet Singh,31
BA Stokes,31
CR Woakes,31
A Singh,31
B Lee,30
SK Raina,30
Yash Thakur,28
PV Tambe,28
AD Mathews,28
STR Binny,28
Mohsin Khan,27
J Botha,27
DR Smith,27
R Dhawan,27
Naveen-ul-Haq,26
Akash Madhwal,26
Navdeep Saini,26
SW Tait,26
Basil Thampi,26
MJ Santner,26
GB Hogg,25
RE van der Merwe,25
Sohail Tanvir,24
AS Rajpoot,24
JP Duminy,23
A Symonds,23
BW Hilfenhaus,23
Shahbaz Ahmed,22
AS Joseph,22
Bipul Sharma,22
VY Mahesh,22
JP Behrendorff,22
K Gowtham,22
WPUJC Vaas,22
Vijaykumar Vyshak,21
RP Meredith,21
Anureet Singh,21
Mujeeb Ur Rahman,21
KW Richardson,21
J Suchith,20
NT Ellis,20
C Sakariya,20
BB Sran,20
C Green,20
Suyash Sharma,20
IC Pandey,19
AD Mascarenhas,19
